Data,Ruins,Melhorias necessárias,Bom
2026-01-05,0,178,0
2026-01-06,0,174,0
2026-01-07,0,175,0
2026-01-08,0,175,0
2026-01-09,0,172,0
2026-01-10,0,174,0
2026-01-11,0,173,0
2026-01-12,0,173,0
2026-01-13,0,160,0
2026-01-14,0,146,0
2026-01-15,0,129,0
2026-01-16,0,123,0
2026-01-17,0,155,0
2026-01-18,0,164,0
2026-01-19,0,165,0
2026-01-20,0,169,0
2026-01-21,0,169,0
2026-01-22,0,169,0
2026-01-23,0,168,0
2026-01-24,0,160,0
2026-01-25,0,165,0
2026-01-26,0,170,0
2026-01-27,0,170,0
2026-01-28,0,171,0
2026-01-29,0,172,0
2026-01-30,0,171,0
2026-01-31,0,171,0
2026-02-01,0,171,0
2026-02-02,0,171,0
2026-02-03,0,169,0
2026-02-04,0,170,0
2026-02-05,0,172,0
2026-02-06,0,177,0
2026-02-07,0,176,0
2026-02-08,0,175,0
2026-02-09,152,21,0
2026-02-10,0,174,0
2026-02-11,0,173,0
2026-02-12,0,168,0
2026-02-13,0,169,0
2026-02-14,0,170,0
2026-02-15,0,170,0
2026-02-16,149,20,0
2026-02-17,151,24,0
2026-02-18,152,39,0
2026-02-19,157,49,0
2026-02-20,159,71,0
2026-02-21,150,101,0
2026-02-22,136,123,0
2026-02-23,114,4,131
2026-02-24,85,2,134
2026-02-25,60,0,133
2026-02-26,52,0,134
2026-02-27,41,0,134
2026-02-28,0,38,134
2026-03-01,0,38,136
2026-03-02,0,35,134
2026-03-03,0,30,133
2026-03-04,0,28,147
2026-03-05,0,28,145
2026-03-06,0,24,136
2026-03-07,0,18,123
2026-03-08,0,17,116
2026-03-09,0,20,109
2026-03-10,0,20,108
2026-03-11,0,19,105
2026-03-12,0,18,95
2026-03-13,0,18,86
2026-03-14,0,18,82
2026-03-15,0,17,80
2026-03-16,0,0,77
2026-03-17,0,0,69
2026-03-18,0,0,71
2026-03-19,0,0,71
2026-03-20,0,0,75
2026-03-21,0,0,75
2026-03-22,0,0,73
2026-03-23,0,0,71
2026-03-24,0,0,65
2026-03-25,0,0,68
2026-03-26,0,0,66
2026-03-27,0,0,66
2026-03-28,0,0,67
2026-03-29,0,0,69
2026-03-30,0,0,69
2026-03-31,0,0,71
2026-04-01,0,0,69
2026-04-02,0,0,70
2026-04-03,0,0,72
2026-04-04,0,0,80